Station,Year,latitude,longitude,Sum
Barisal,1990,22.70497,90.37013,2378
Bhola,1990,22.68759,90.64403,2260
Bogra,1990,24.85098,89.37108,2077
Chandpur,1990,23.2321,90.6631,1956
Chittagong,1990,22.3384,91.83168,2852
chuadanga,1990,23.6418,88.8577,1451
Comilla,1990,23.46186,91.18503,2045
Cox's Bazar,1990,21.43973,92.00955,4168
Dhaka,1990,23.7104,90.40744,2103
Dinajpur,1990,25.62745,88.63779,2081
Faridpur,1990,23.60612,89.84064,1985
Feni,1990,23.0144,91.3966,3766
Hatiya,1990,22.2881,91.1401,1712
Ishurdi,1990,24.12858,89.06573,2099
Jessore,1990,23.16971,89.21371,1686
Khepupara,1990,21.9938,90.2292,3211
Khulna,1990,22.80979,89.56439,1938
Kutubdia,1990,21.8167,91.8583,3421
Madaripur,1990,23.17097,90.20935,2127
Mymensingh,1990,24.75636,90.40646,2198
Patuakhali,1990,22.3586,90.3317,2776
Rajshahi,1990,24.374,88.60114,1767
Rangamati,1990,22.6573,92.1733,2532
Rangpur,1990,25.74664,89.25166,2386
Sandwip,1990,22.51409,91.45491,3385
Satkhira,1990,22.70817,89.07185,1928
Sitakunda,1990,22.6171,91.6809,3529
Srimangal,1990,24.3065,91.7296,2511
Sylhet,1990,24.89904,91.87198,4245
Tangail,1990,24.24984,89.91655,1580
Teknaf,1990,20.85829,92.29773,3596
