Station,Year,latitude,longitude,Sum
Ambagan(Ctg),2005,22.2417227,91.6413344,2331
Barisal,2005,22.70497,90.37013,1943
Bhola,2005,22.68759,90.64403,2366
Bogra,2005,24.85098,89.37108,2091
Chandpur,2005,23.2321,90.6631,1539
chuadanga,2005,23.6418,88.8577,1482
Comilla,2005,23.46186,91.18503,2424
Cox's Bazar,2005,21.43973,92.00955,3384
Dhaka,2005,23.7104,90.40744,2637
Dinajpur,2005,25.62745,88.63779,2975
Faridpur,2005,23.60612,89.84064,1650
Feni,2005,23.0144,91.3966,2868
Hatiya,2005,22.2881,91.1401,3814
Ishurdi,2005,24.12858,89.06573,1819
Jessore,2005,23.16971,89.21371,1678
Khepupara,2005,21.9938,90.2292,3348
Khulna,2005,22.80979,89.56439,1982
Kutubdia,2005,21.8167,91.8583,2727
Madaripur,2005,23.17097,90.20935,1805
Mongla,2005,22.4942,89.6016,2406
Mymensingh,2005,24.75636,90.40646,2672
Patuakhali,2005,22.3586,90.3317,2703
Rajshahi,2005,24.374,88.60114,1405
Rangamati,2005,22.6573,92.1733,2124
Rangpur,2005,25.74664,89.25166,2853
Sandwip,2005,22.51409,91.45491,3067
Satkhira,2005,22.70817,89.07185,1982
Sitakunda,2005,22.6171,91.6809,3030
Srimangal,2005,24.3065,91.7296,2375
sydpur,2005,25.783,88.8983,2650
Sylhet,2005,24.89904,91.87198,4163
Tangail,2005,24.24984,89.91655,2017
Teknaf,2005,20.85829,92.29773,3784
