Station,Year,latitude,longitude,Sum
Ambagan(Ctg),2010,22.2417227,91.6413344,2405
Barisal,2010,22.70497,90.37013,1662
Bhola,2010,22.68759,90.64403,1772
Bogra,2010,24.85098,89.37108,1274
Chandpur,2010,23.2321,90.6631,1596
Chittagong,2010,22.3384,91.83168,2437
chuadanga,2010,23.6418,88.8577,852
Comilla,2010,23.46186,91.18503,1578
Cox's Bazar,2010,21.43973,92.00955,3438
Dhaka,2010,23.7104,90.40744,1523
Dinajpur,2010,25.62745,88.63779,1641
Faridpur,2010,23.60612,89.84064,1409
Feni,2010,23.0144,91.3966,2447
Hatiya,2010,22.2881,91.1401,3052
Ishurdi,2010,24.12858,89.06573,894
Jessore,2010,23.16971,89.21371,1380
Khepupara,2010,21.9938,90.2292,2568
Khulna,2010,22.80979,89.56439,1206
Kutubdia,2010,21.8167,91.8583,2702
Madaripur,2010,23.17097,90.20935,1186
Mongla,2010,22.4942,89.6016,1673
Mymensingh,2010,24.75636,90.40646,2095
Patuakhali,2010,22.3586,90.3317,2167
Rajshahi,2010,24.374,88.60114,792
Rangamati,2010,22.6573,92.1733,2645
Rangpur,2010,25.74664,89.25166,2102
Sandwip,2010,22.51409,91.45491,3509
Satkhira,2010,22.70817,89.07185,1295
Sitakunda,2010,22.6171,91.6809,2868
Srimangal,2010,24.3065,91.7296,2150
sydpur,2010,25.783,88.8983,1951
Sylhet,2010,24.89904,91.87198,4800
Tangail,2010,24.24984,89.91655,1750
Teknaf,2010,20.85829,92.29773,4264
