Country Name,Country Code,Indicator Name,Indicator Code,1990,1995,2000,2005,2007,2009,2014
Bangladesh,BGD,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,92702684.47,100544719.7,102370207.1,101549219.5,97406144.44,92680100.13,87832308.73
