"asciiname","population","location"
"Baniachang",37807,"https://www.google.com/maps/?q=24.51863,91.35787"
"Sarankhola",36470,"https://www.google.com/maps/?q=22.31006,89.79113"
"Shibganj",35961,"https://www.google.com/maps/?q=24.68501,88.15638"
"Pirgaaj",34606,"https://www.google.com/maps/?q=25.85587,88.35943"
"Bajitpur",34560,"https://www.google.com/maps/?q=24.21623,90.95002"
"Char Bhadrasan",34423,"https://www.google.com/maps/?q=23.30916,90.22698"
"Gafargaon",34177,"https://www.google.com/maps/?q=24.432,90.5585"
"Badarganj",32600,"https://www.google.com/maps/?q=25.67419,89.05377"
"Bandarban",32523,"https://www.google.com/maps/?q=22.19534,92.21946"
"Nabinagar",31671,"https://www.google.com/maps/?q=23.88791,90.96792"
"Morrelgonj",31647,"https://www.google.com/maps/?q=22.45566,89.85584"
"Kesabpur",30926,"https://www.google.com/maps/?q=22.90725,89.21954"
"Bhandaria",30219,"https://www.google.com/maps/?q=22.48898,90.06273"
"Mathba",29760,"https://www.google.com/maps/?q=22.28616,89.95883"
"Raojan",25708,"https://www.google.com/maps/?q=22.53511,91.91919"
"Manikchari",24813,"https://www.google.com/maps/?q=22.83957,91.84128"
"Muktagacha",24684,"https://www.google.com/maps/?q=24.76484,90.25698"
"Parvez Ali Family",6000,"https://www.google.com/maps/?q=23.81741,90.11921"
"Parvez Ali Hossain",6000,"https://www.google.com/maps/?q=23.78758,90.16487"
