Station,Year,latitude,longitude,Sum
Barisal,1995,22.70497,90.37013,2258
Bhola,1995,22.68759,90.64403,2038
Bogra,1995,24.85098,89.37108,2248
Chandpur,1995,23.2321,90.6631,2025
Chittagong,1995,22.3384,91.83168,2444
chuadanga,1995,23.6418,88.8577,1519
Comilla,1995,23.46186,91.18503,2102
Cox's Bazar,1995,21.43973,92.00955,3455
Dhaka,1995,23.7104,90.40744,1751
Dinajpur,1995,25.62745,88.63779,2613
Faridpur,1995,23.60612,89.84064,2006
Feni,1995,23.0144,91.3966,3009
Ishurdi,1995,24.12858,89.06573,1330
Jessore,1995,23.16971,89.21371,1397
Khepupara,1995,21.9938,90.2292,3357
Khulna,1995,22.80979,89.56439,2046
Kutubdia,1995,21.8167,91.8583,3048
Madaripur,1995,23.17097,90.20935,2189
Mongla,1995,22.4942,89.6016,1797
Mymensingh,1995,24.75636,90.40646,2645
Patuakhali,1995,22.3586,90.3317,2951
Rajshahi,1995,24.374,88.60114,1432
Rangamati,1995,22.6573,92.1733,2403
Rangpur,1995,25.74664,89.25166,2461
Sandwip,1995,22.51409,91.45491,2234
Satkhira,1995,22.70817,89.07185,1765
Sitakunda,1995,22.6171,91.6809,2459
Srimangal,1995,24.3065,91.7296,2113
sydpur,1995,25.783,88.8983,2452
Sylhet,1995,24.89904,91.87198,3873
Tangail,1995,24.24984,89.91655,1852
Teknaf,1995,20.85829,92.29773,4285
